City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Kota Belud,MY,77.86,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
365,Pionerskiy,RU,41.76,clear sky,54.9508,20.2275,Baltica Pension
367,Yining,CN,50.18,overcast clouds,29.0361,114.5636,Xiushui Hotel
368,Portland,US,45.61,light rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
370,Otradnoye,RU,41.56,clear sky,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
372,Semirom,IR,51.08,overcast clouds,31.4167,51.5667,Motel Dena
373,Barcelos,PT,56.91,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
374,Biak,ID,76.87,overcast clouds,-0.9131,122.8766,Penginapan Kim
376,Svetlyy,RU,41.97,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
377,Sechura,PE,72.81,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
378,Ixtapa,MX,67.23,broken clouds,20.7,-105.2,hotel la terminal
379,Mercedes,AR,58.78,light rain,-34.6515,-59.4307,Posada del Inti Centro
380,Luanda,AO,76.93,light rain,-8.8368,13.2343,EPIC SANA Luanda
381,Shakiso,ET,62.65,light rain,5.75,38.9167,Bealu Girma Hottel
382,Hibbing,US,42.15,few clouds,47.4272,-92.9377,Americas Best Value Inn Hibbing
385,Fenoarivo,MG,66.27,broken clouds,-18.933,47.4354,Skyfol Ambodiafontsy
386,Grand-Lahou,CI,77.65,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
388,Tawang,IN,61.21,scattered clouds,27.5833,91.8667,Hotel Mount View
392,Sartana,UA,42.85,overcast clouds,47.1744,37.6927,Сартана
394,Hamilton,US,50.31,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
401,Faratsiho,MG,63.25,overcast clouds,-19.4,46.95,LAVILLA FARATSIHO
405,Xicotencatl,MX,69.53,scattered clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
406,Iguape,BR,71.24,few clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
407,Rio Cuarto,AR,58.48,broken clouds,-33.1307,-64.3499,Hotel Menossi
410,Santa Cruz Do Rio Pardo,BR,66.6,broken clouds,-22.8989,-49.6325,Restaurante e Pousada Os Galeguinhos
411,Ourossogui,SN,78.8,clear sky,15.6064,-13.3211,Hotel welma
412,Anzio,IT,48.31,scattered clouds,41.4853,12.6179,Hotel Lido Garda
414,Freeport,US,47.25,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
416,Carmen,MX,77.67,overcast clouds,18.6333,-91.8333,Hotel Lossandes
